task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
ecommerce_integrity,misata,1,True,0.02,,0.0,,,45,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,45,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,45,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.021,,0.0,,,46,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,46,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,46,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.02,,0.0,,,47,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,47,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,47,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.02,,0.0,,,48,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,48,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,48,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,48,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.021,,0.0,,,49,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,49,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,49,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,49,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.02,,0.0,,,50,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,50,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,50,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
